日期,状态,记录数,实际秒数,实际分钟数,计费分钟数,单价,费用
2026-05-18,已完成,76,5661,94.35,156,0.12,18.72
2026-05-18,失败,2,null,null,null,0.12,0.00
2026-05-19,已完成,326,30560,509.33,720,0.12,86.40
2026-05-19,失败,75,null,null,null,0.12,0.00
2026-05-20,已完成,1223,91028,1517.13,2310,0.12,277.20
2026-05-20,失败,35,null,null,null,0.12,0.00
2026-05-21,已完成,888,75103,1251.72,1833,0.12,219.96
2026-05-21,失败,25,null,null,null,0.12,0.00
2026-05-24,ASR转写,1,null,null,null,0.12,0.00
2026-05-24,已完成,4186,192630,3210.5,6264,0.12,751.68
2026-05-24,失败,604,5161,86.02,502,0.12,60.24
2026-05-25,已完成,971,43838,730.63,1414,0.12,169.68
2026-05-25,失败,24,null,null,null,0.12,0.00
2026-05-26,已完成,325,49019,816.98,988,0.12,118.56
2026-05-26,失败,1,5,0.08,1,0.12,0.12
2026-05-27,已完成,1286,75426,1257.1,2114,0.12,253.68
2026-05-27,失败,40,326,5.43,29,0.12,3.48
2026-05-28,已完成,1376,85027,1417.12,2335,0.12,280.20
2026-05-28,失败,72,null,null,null,0.12,0.00
合计,,0762326751223358882514186604971243251128640137672,653784,10896.39,18666,0.12,2239.92
已完成合计,,0763261223888418697132512861376,648292,10804.86,18134,0.12,2176.08
